Country,Adjective,Area,,Africa,Asia,Canada,Europe,Greenland,United States,Mexico,Central America,Caribbean,South America,Oceania,Antarctica
Mongolia, Mongolian,,,,,Refugium Range,Lake District,,Huron Mountains,,,,,,
Montenegro, Montenegrin,,,,,Richardson Mountains,Măcin Mountains,,Judith Mountains,,,,,,
Morocco, Moroccan,,,,,Rocky Mountains,Massif Central,,Klamath Mountains,,,,,,
Mozambique, Mozambican,,,,,Rocky Mountain Foothills,Olympus Range,,Marble Mountains,,,,,,
Myanmar, Burmese,,,,,Ruby Range,Mount Olympus,,Northern Yolla-Bolly Mountains,,,,,,
Namibia, Namibian,,,,,Saint Elias Mountains,Owl Mountains,,Salmon Mountains,,,,,,
Nauru, Nauruan,,,,,San Christoval Range,Ore Mountains,,Scott Mountains,,,,,,
Nepal, Nepali,,,,,Sawtooth Range (Nunavut),Pennines,,Siskiyou Mountains,,,,,,
Netherlands, Dutch,,,,,Scoresby Hills,Pindus Mountains,,Trinity Alps,,,,,,
New Zealand, New Zealander (Kiwi informally),,,,,Selamiut Range,Pyrenees,,Trinity Mountains,,,,,,
Nicaragua, Nicaraguan,,,,,Selkirk Mountains,Rila-Rhodope mountain massif,,Lake Range,,,,,,
Niger, Nigerien,,,,,Selwyn Mountains,Rila,,Little Rocky Range,,,,,,
Nigeria, Nigerian,,,,,Seymour Range,Pirin,,Little Snowy Mountains,,,,,,
North Macedonia, Macedonian,,,,,Shulaps Range,Slavyanka (mountain),,Little Wolf Mountains,,,,,,
Norway, Norwegian,,,,,Shuswap Highland,Osogovo-Belasitsa mountain range,,Metacomet Ridge,,,,,,
Burma,Burma,,,,,Sir Donald Range,Osogovo,,Traprock Ridge,,,,,,
Oman, Omani,,,,,Sir Sandford Range,Belasitsa,,Mineral Mountains,,,,,,
Pakistan, Pakistani,,,,,Somerset Range,Vlahina,,Mineral Mountains,,,,,,
Palau, Palauan,,,,,Sophia Range,Malashevska mountain,,Nulato Hills,,,,,,
Panama, Panamanian,,,,,Spearhead Range,Plačkovica,,North Moccasin Mountains,,,,,,
Papua New Guinea, Papua New Guinean,,,,,Spectrum Range,Ogražden,,Olympic Mountains,,,,,,
Paraguay, Paraguayan,,,,,St. Cyr Range,Rhodope Mountains,,Oquirrh Mountains,,,,,,
Peru, Peruvian,,,,,Stokes Range,Western Rhodopes,,Oregon Coast Range,,,,,,
Philippines, Filipino,,,,,Sutton Range,Eastern Rhodopes,,Organ Mountains,,,,,,
Poland, Polish,,,,,Sweet Grass Hills,Rhön Mountains,,Ortiz Mountains,,,,,,
Portugal, Portuguese,,,,,Swiss Range,Šar range,,Pahranagat Range,,,,,,
Qatar, Qatari,,,,,Tantalus Range,Šar Mountains,,Panamint Range,,,,,,
Romania, Romanian,,,,,Thorndike Peaks,Mount Korab,,Pavant Range,,,,,,
Russia, Russian,,,,,Tochquonyalla Range,Mount Bistra,,Peninsular Ranges,,,,,,
Rwanda, Rwandan,,,,,Torngat Mountains,Stogovo,,Laguna Mountains,,,,,,
